Date;HStart;HEnd;Summary;Location;Groupe;Intervenant
14/11/2024;14:30:00;16:30:00;Prog1 ;B3;1ATP4; SIGURET ARNAUD 
18/11/2024;14:30:00;16:30:00;Archi-Rés1 ;B3;1ATDB; FREITAS ANTONIO 
22/10/2024;11:30:00;13:30:00;Elec1 ;A5bis;1ATDA; CAPALLERA FLORENCE 
23/09/2024;11:30:00;13:30:00;SAE1.01;B6,C5;1ATDB;  
11/10/2024;11:30:00;14:30:00;Init-Rés1 ;C1bis;1ATP4; FREITAS ANTONIO 
10/12/2024;14:30:00;16:30:00;Anglais1 ;Labo multimédia A109;1ATP4; GORDON NATHALIE 
16/12/2024;12:30:00;14:30:00;SAE1.05;B3;1ATDB; Intervenant à  préciser 
23/10/2024;11:30:00;13:30:00;Com1 ;B7;1ATDB; GIRAUD NADINE 
17/12/2024;14:30:00;16:30:00;SAE1.04;B7;1ATP3; GIRAUD NADINE 
06/11/2024;12:30:00;14:30:00;Com1 ;B7;1ATP1; GIRAUD NADINE 
14/11/2024;12:30:00;14:30:00;Syst1 ;C5;1ATP2; JACQUET FREDERIQUE 
19/11/2024;12:30:00;14:30:00;Com1 ;B7;1ATP3; GIRAUD NADINE 
23/09/2024;11:30:00;13:30:00;Init-Rés1 ;B3;1ATDA; FREITAS ANTONIO 
14/11/2024;15:00:00;18:00:00;Elec1 ;C1;1ATP1; CAPALLERA FLORENCE 
27/11/2024;09:00:00;11:00:00;SAE1.05;C5;1ATP4; JACQUET FREDERIQUE 
14/11/2024;07:00:00;09:00:00;Anglais1 ;B2;1ATP2; GORDON NATHALIE 
06/11/2024;07:00:00;09:00:00;Syst1 ;C5;1ATP4; JACQUET FREDERIQUE 
24/10/2024;12:30:00;13:30:00;SAE1.01;B8;1ATP3; JACQUET FREDERIQUE 
10/09/2024;09:00:00;10:00:00;Math-Signal1 ;A5-A5bis;1A;COURSIMAULT DAVID 
26/11/2024;12:30:00;14:30:00;Prog1 ;B8;1ATP2; ZAYENE MARIEM 
03/12/2024;07:00:00;09:00:00;Math-Trans1 ;A8;1ATDB;COURSIMAULT DAVID 
14/10/2024;11:30:00;13:30:00;Prog1 ;B6;1ATP3; ZAYENE MARIEM 
19/11/2024;07:00:00;09:00:00;Com1 ;B7;1ATP2; GIRAUD NADINE 
06/11/2024;12:30:00;14:30:00;Math-Signal1 ;A5;1ATDB;COURSIMAULT DAVID 
20/09/2024;08:00:00;10:00:00;SAE1.01;B3;1ATDB; JACQUET FREDERIQUE 
21/10/2024;11:30:00;13:30:00;Prog1 ;B8;1ATP3; ZAYENE MARIEM 
18/12/2024;08:00:00;11:00:00;SAE1.03;C1;1ATP1; CAPALLERA FLORENCE 
09/09/2024;08:00:00;10:00:00;Rentrée BUT1;A5-A5bis;1A;  
10/10/2024;11:30:00;13:30:00;Prog1 ;B3;1ATP3; ZAYENE MARIEM 
16/10/2024;14:30:00;17:30:00;Init-Rés1 ;B8;1ATP1; BROS LAURENT 
13/11/2024;09:00:00;11:00:00;Math-Trans1 ;A5bis;1ATDB;COURSIMAULT DAVID 
04/12/2024;14:30:00;16:30:00;Gest_projet ;B7;1ATDB; MAYET KARINE 
05/12/2024;16:30:00;18:30:00;Soutien math-telecomÂ ;B6;1ATDA;  
10/12/2024;16:30:00;18:30:00;Soutien math-telecomÂ ;B6;1ATDA;  
27/11/2024;08:00:00;11:00:00;Telecom1 ;C1;1ATP3; CAPALLERA FLORENCE 
04/11/2024;10:00:00;11:00:00;Syst1 ;Salle examen MPC003;1A; JACQUET FREDERIQUE 
22/11/2024;12:30:00;15:30:00;Elec1 ;C1;1ATP2; CAPALLERA FLORENCE 
20/11/2024;15:30:00;18:30:00;Init-Rés1 Exam ;C1bis;1ATP1; BROS LAURENT 
03/12/2024;09:00:00;11:00:00;Math-Trans1 ;A5bis;1ATDA;COURSIMAULT DAVID 
25/10/2024;12:30:00;13:30:00;SAE1.01;B8;1ATP1; JACQUET FREDERIQUE 
30/09/2024;13:30:00;14:30:00;Soutien Télécoms;B6,A6;1ATP2; CAPALLERA FLORENCE 
17/09/2024;08:00:00;10:00:00;Math-Signal1 ;A5;1ATDB;COURSIMAULT DAVID 
19/12/2024;07:00:00;09:00:00;Anglais1 ;B2;1ATP2; BEIGNON D AGOSTINO LAURE 
03/10/2024;07:00:00;08:00:00;Soutien Télécoms;B6,A6;1ATP1; CAPALLERA FLORENCE 
17/10/2024;11:30:00;13:30:00;Syst1 ;C5;1ATP2; JACQUET FREDERIQUE 
22/10/2024;13:30:00;14:30:00;SAE1.01;B8;1ATP4; JACQUET FREDERIQUE 
08/11/2024;09:00:00;11:00:00;Math-Signal1 ;A8;1ATDA;COURSIMAULT DAVID 
07/10/2024;11:30:00;13:30:00;SAE1.02;C1bis;1ATP1; FREITAS ANTONIO 
16/12/2024;16:30:00;17:30:00;Soutien info;B3;1ATDA; Intervenant à  préciser 
06/11/2024;15:30:00;18:30:00;Init-Rés1 ;C7;1ATP1; BROS LAURENT 
24/09/2024;13:30:00;15:30:00;Com1 ;B7;1ATDB; GIRAUD NADINE 
08/11/2024;09:00:00;11:00:00;Syst1 ;C5;1ATP3; JACQUET FREDERIQUE 
